Zeitstempel,Szenario_A,Szenario_B,Szenario_C
00:00,0.019,0.019,0.021
01:00,0.014,0.014,0.016
02:00,0.010,0.010,0.010
03:00,0.005,0.005,0.005
04:00,0.005,0.005,0.005
05:00,0.005,0.005,0.005
06:00,0.005,0.005,0.005
07:00,0.010,0.010,0.010
08:00,0.015,0.015,0.021
09:00,0.025,0.025,0.036
10:00,0.039,0.039,0.057
11:00,0.054,0.054,0.078
12:00,0.064,0.064,0.089
13:00,0.069,0.069,0.094
14:00,0.074,0.074,0.094
15:00,0.078,0.078,0.094
16:00,0.083,0.083,0.089
17:00,0.088,0.088,0.078
18:00,0.093,0.093,0.062
19:00,0.083,0.083,0.047
20:00,0.064,0.064,0.031
21:00,0.044,0.044,0.021
22:00,0.029,0.029,0.016
23:00,0.025,0.025,0.016
